description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The focus today, is on your ability to produce a steady Zone 3 effort after first completing some high intensity accelerations.However, across the course of the session, the intensity and duration of the Zone 3 interval will increase.",1,240,45,70,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,50,90,%,,,,,,
,1,180,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,3,15,170,170,%,,30,65,65,%,
,1,300,81,81,%,,,,,,
,1,240,50,50,%,,,,,,
,3,15,170,170,%,,30,65,65,%,
,1,300,86,86,%,,,,,,
,1,240,50,50,%,,,,,,
,3,15,170,170,%,,30,65,65,%,
,1,600,76,89,%,,,,,,
,1,300,50,50,%,,,,,,
