description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The aim today is to produce repeatable, high power intervals.With 2 sets of the 45 second Anaerobic Intensive intervals, note any differences in your heart rate response from the first to the second set.Between the Anaerobic Intensive sets, we complete a 10 minute tempo effort to build some fatigue.",1,600,50,75,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,600,75,75,%,,,,,,
,1,60,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,57,57,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,45,180,180,%,,,,,,
,1,120,56,56,%,,,,,,
,1,600,75,50,%,,,,,,
